Forest_index,Forest_Name,State,Town,Plants_type,Longitude,Latitude
F_218,مواقع غابات كثيفة, , ,العرعر,40.29209797,21.33216292
F_219,مواقع غابات كثيفة, , , ,40.21413775,21.26157823
F_220,مواقع غابات كثيفة, , ,العرعر,40.29172294,21.35563166
F_221,غابة حبيل الوجر بثلوث المنظ,عسير,المجاردة, ,42.08094973,18.87301803
F_222,مواقع غابات كثيفة,عسير, , ,42.08498212,18.8764104
F_223,مواقع غابات كثيفة,عسير, , ,42.08493365,18.87347095
F_224,مواقع غابات كثيفة,عسير, , ,42.09043854,18.87876731
F_225,مواقع غابات كثيفة,عسير, , ,42.07483467,18.85686058
F_226,مواقع غابات كثيفة,عسير, , ,41.84958513,19.08490788
F_227,مواقع غابات كثيفة,عسير, , ,41.86336918,19.08774997
F_228,مواقع غابات كثيفة,عسير, , ,41.87777246,19.07699858
F_229,موقع اسفل قرية الخلد,مكة المكرمة,الطائف,العرعر,40.26245411,21.15013649
F_230,وادى الحيط,مكة المكرمة,الطائف,العرعر,40.26528037,21.16799987
F_231,مهبط الطائرات,مكة المكرمة,الطائف,العرعر,40.21809585,21.14366454
F_232,غابة الخلد,مكة المكرمة,الطائف,العرعر,40.25301803,21.14403994
F_233,غابة الجبل الاحمر,مكة المكرمة,الطائف,العرعر,40.24996653,21.11773225
F_234,غابة الفرع2,مكة المكرمة,الطائف,العرعر,40.27255867,21.11248299
F_235,موقع تخييم,مكة المكرمة,الطائف,العرعر,40.2822745,21.11386259
F_236,غابة وادى خماس البروج,مكة المكرمة,الطائف,العرعر,40.28950321,21.13266108
F_237,مفرق خماس الرئيسى,مكة المكرمة,الطائف,العرعر,40.30150954,21.13038345
F_238,غابة الفرع1,مكة المكرمة,الطائف,العرعر,40.27772836,21.10174739
F_239,غابة جبل دكا3,مكة المكرمة,الطائف,العرعر,40.27942460000001,21.08828878
F_240,غابة جبل دكا2,مكة المكرمة,الطائف,العرعر,40.29032548,21.08874324
F_241,غابة جبل دكا1,مكة المكرمة,الطائف,العرعر,40.2904201,21.09700584
F_242,غابات الوهط والوهيط,مكة المكرمة,الطائف,Acacia origena - Acacia tortilis - Salsola spinesc,40.35163521,21.22841284
F_243,غابة الضحية2,مكة المكرمة,الطائف,العرعر,40.28832652,21.28184946
F_244,غابات المشراف3,مكة المكرمة,الطائف,العرعر,40.28278807,21.28992357
F_245,الضحية3,مكة المكرمة,الطائف,العرعر,40.29104751,21.30750151
F_246,غابة جبل لبنان3,مكة المكرمة,الطائف,العرعر,40.28884355,21.32707529
F_247,غابة جبل لبنان1,مكة المكرمة,الطائف,العرعر,40.28806017,21.32118483
F_248,غابة جبل لبنان2,مكة المكرمة,الطائف,العرعر,40.28316612,21.32153869
F_249,مواقع غابات كثيفة, , ,العرعر,40.27796196,21.29671917
F_250,موقع غابة بنجران,نجران,نجران, ,44.18663296,17.56641983
F_251,موقع غابة مقترح,حائل,حائل, ,41.81060523,27.57846288
F_252,غابة عنيزة,القصيم,عنيزة, ,44.11379433,26.18649168
F_253,غابات المقطر,عسير,ظهران الجنوب,الطلح والعوسج,43.47880470000001,17.75529885
F_254,غابة الشق,تبوك,تبوك,الطلح وشجيرات صحراوية,35.94707409,28.06265181
F_255,مواقع غابات كثيفة,تبوك,تبوك, ,36.59313476,27.64053299
F_256,غابة وادى ادم,المدينة المنورة,العلا,السمر والعوشز,36.96776289,26.94161294
F_257,مواقع غابات كثيفة, , , ,37.17006174,28.08009982
F_258,غابة منسى شرق غميقة,مكة المكرمة,الليث, ,40.58838954,20.36694133
F_259,غابة قذانة بالشهم,الباحة,بلجرشى, ,41.74558849,19.79648061
F_260,غابة قذانة بالهشم,الباحة,بلجرشى, ,41.74558849,19.79648061
F_261,مواقع غابات كثيفة, , , ,41.47044368,20.09284141
F_262,موقع تعدى على غابة الكربة, , , ,41.68985738,19.84853909
F_263,الارض الملطوب التنازل عنها, , , ,42.79736952,18.65118946
F_264,غابة المرارة,عسير,خميس مشيط, ,43.07620042,18.57567708
F_265,غابة الخنق,نجران,حبونا,السمر والسلم والعشار,44.08433219,17.85853563
F_266,غابة وادى السر,تبوك,الوجه,السمر والعوشز,36.70260803,26.51348381
F_267,غابة وادى السيح,تبوك,الوجه,السمر والعوشز,36.31742872,26.5199007
F_268,غابة وادى السيح,تبوك,الوجه,السمر والعوشز,36.33864777,26.53727512
F_269,اراضى غابات  مطلوب حمايتها,مكة المكرمة,القنفذة, ,41.71445513,19.63743301
F_270,موقع مقترح لاقامة مركز اكثا,مكة المكرمة,الليث, ,40.42853406,20.33224789
F_271,مركز ابحاث الغابات,الباحة,بلجرشى, ,41.58871,19.84803276
F_272,غابات شرق قرية الكاحدين, , , ,41.21738353,20.32199449
F_273,غابات جبل حرفة,عسير,النماص, ,42.02665132,19.39067897
F_274,مواقع غابات كثيفة,عسير, , ,42.23805481,18.76711965
F_275,موقع غابات مطلوب تخصيصة مصل,عسير,بالقرن, ,41.91244092,19.55199191
F_276,غابة جبل السرفة الشرقى,الباحة,المندق, ,41.30795360000001,20.10749415
F_277,غابة ام العيد 2,جازان, , ,42.81044066,17.351229999999994
F_278,غابة ام العيد 1,جازان, , ,42.83044438,17.35262614
F_279,المدرى,عسير,محايل عسير, ,41.92233107,18.61710548
F_280,المدرى,عسير,محايل عسير, ,41.90705132,18.6451396
